Date,Open,High,Low,Close,Adj Close,Volume,Monthly,60ma,extent_of_fall
2002-11-05,69.375,70.625,69.375,69.875,43.94585800170898,356160,69.875,,
2002-11-06,69.875,69.875,69.875,69.875,43.94585800170898,0,69.875,,
2002-11-07,73.5,73.5,68.25,69.375,43.63140487670898,343680,69.875,,
2002-11-08,69.125,69.75,68.25,69.125,43.47417068481445,108992,69.875,,
2002-11-11,69.375,69.375,68.125,68.25,42.92385482788086,153344,69.875,,
2002-11-12,68.0,69.875,66.375,68.125,42.845245361328125,275072,69.875,,
2002-11-13,69.125,69.375,68.125,68.875,43.31694030761719,229056,69.875,,
2002-11-14,68.0,74.0,67.625,72.875,45.83262252807617,5058688,69.875,,
2002-11-15,73.125,76.25,70.875,71.625,45.04647064208984,3930944,69.875,,
2002-11-18,71.625,73.375,70.25,70.75,44.49615859985352,1086528,69.875,,
2002-11-19,70.75,70.75,70.75,70.75,44.49615859985352,0,69.875,,
2002-11-20,71.875,72.5,70.75,71.25,44.81062698364258,587712,69.875,,
2002-11-21,72.5,74.0,71.5,73.25,46.06846237182617,2109312,69.875,,
2002-11-22,75.25,75.25,72.75,73.625,46.30430603027344,1622016,69.875,,
2002-11-25,73.125,74.625,72.0,74.0,46.540157318115234,1358912,69.875,,
2002-11-26,73.75,78.375,73.0,77.0,48.42692184448242,7969664,69.875,,
2002-11-27,77.5,77.5,75.0,76.875,48.34830856323242,3404544,69.875,,
2002-11-28,76.875,77.875,76.25,76.75,48.26968765258789,1664576,69.875,,
2002-11-29,76.875,78.0,76.875,77.875,48.97722244262695,1076544,69.875,,
2002-12-02,76.375,79.75,76.375,79.0,49.68476486206055,1137920,77.875,,
2002-12-03,78.875,80.625,77.75,79.0,49.68476486206055,1141056,77.875,,
2002-12-04,78.125,78.5,76.25,77.0,48.42692184448242,891712,77.875,,
2002-12-05,77.125,79.375,76.375,77.25,48.58415222167969,684992,77.875,,
2002-12-06,83.75,83.75,77.25,80.25,50.47091674804688,1164864,77.875,,
2002-12-09,80.0,81.25,78.75,79.5,49.99922180175781,596928,77.875,,
2002-12-10,80.125,81.25,78.5,80.875,50.863990783691406,459904,77.875,,
2002-12-11,81.75,81.875,80.5,81.5,51.25706481933594,444160,77.875,,
2002-12-12,81.625,87.5,81.5,86.875,54.637508392333984,2523392,77.875,,
2002-12-13,85.625,88.125,84.375,87.0,54.71613693237305,2409856,77.875,,
2002-12-16,88.625,89.75,86.25,88.0,55.34505462646485,2873792,77.875,,
2002-12-17,87.5,88.25,86.25,86.875,54.637508392333984,2912064,77.875,,
2002-12-18,86.75,93.75,86.75,88.25,55.50227355957031,3976320,77.875,,
2002-12-19,89.25,90.625,88.125,89.0,55.97397994995117,2179904,77.875,,
2002-12-20,90.625,91.875,89.125,91.125,57.310428619384766,1879040,77.875,,
2002-12-23,91.0,91.5,89.375,90.375,56.83872222900391,896000,77.875,,
2002-12-24,90.5,90.625,88.625,89.5,56.28843688964844,643712,77.875,,
2002-12-25,89.5,89.5,89.5,89.5,56.28843688964844,0,77.875,,
2002-12-26,90.0,92.375,88.625,89.25,56.13121032714844,776000,77.875,,
2002-12-27,89.875,90.375,87.75,88.625,55.73811721801758,824640,77.875,,
2002-12-30,89.875,94.25,88.5,91.75,57.703521728515625,2682816,77.875,,
2002-12-31,92.25,94.375,88.75,89.5,56.28843688964844,8307264,89.5,,
2003-01-01,92.875,92.875,89.75,91.0,57.2318229675293,3457152,89.5,,
2003-01-02,92.25,92.25,88.75,89.125,56.05260467529297,1453568,89.5,,
2003-01-03,90.5,91.25,89.125,89.875,56.52427291870117,1433024,89.5,,
2003-01-06,91.25,92.5,88.625,89.0,55.97397994995117,1772544,89.5,,
2003-01-07,90.625,92.5,88.875,91.75,57.703521728515625,5285760,89.5,,
2003-01-08,93.875,94.625,90.875,92.25,58.01796340942383,5516224,89.5,,
2003-01-09,92.375,95.625,90.125,94.5,59.43304443359375,26810176,89.5,,
2003-01-10,95.0,95.625,88.125,89.25,56.13121032714844,7633408,89.5,,
2003-01-13,89.375,92.875,88.375,92.25,58.01796340942383,2782784,89.5,,
2003-01-14,93.0,96.25,92.0,92.875,58.41103363037109,7491392,89.5,,
2003-01-15,95.25,95.25,92.5,93.625,58.88273620605469,1948800,89.5,,
