Date,Open,High,Low,Close,Adj Close,Volume,60_MA,60ma,extent_of_fall
2006-11-16,268.76251220703125,291.6499938964844,265.54998779296875,288.23748779296875,215.4488067626953,16836432,247.4250030517578,,
2006-11-17,290.0,294.42498779296875,274.5,278.7749938964844,208.3758544921875,8229376,247.4250030517578,,
2006-11-20,275.0,287.20001220703125,265.1000061035156,284.7749938964844,212.8606719970703,7255332,247.4250030517578,,
2006-11-21,282.6625061035156,302.42498779296875,282.6625061035156,295.5874938964844,220.94268798828125,7310604,247.4250030517578,,
2006-11-22,296.75,299.9375,292.125,293.625,219.47581481933597,3415848,247.4250030517578,,
2006-11-23,296.25,296.25,285.04998779296875,287.42498779296875,214.84149169921875,2498644,247.4250030517578,,
2006-11-24,275.26251220703125,295.54998779296875,275.26251220703125,285.2250061035156,213.19708251953125,3247380,247.4250030517578,,
2006-11-27,285.8999938964844,287.48748779296875,279.17498779296875,281.76251220703125,210.60891723632807,1628732,247.4250030517578,,
2006-11-28,279.98748779296875,288.0,268.82501220703125,279.07501220703125,208.60011291503903,3116228,247.4250030517578,,
2006-11-29,281.25,287.25,279.29998779296875,281.2250061035156,210.2071990966797,1654736,247.4250030517578,,
2006-11-30,282.67498779296875,284.25,278.0249938964844,280.625,209.75868225097656,974100,280.625,,
2006-12-01,282.5,286.625,278.2749938964844,280.0625,209.3382568359375,1191888,280.625,,
2006-12-04,281.25,284.42498779296875,277.54998779296875,278.1875,207.93675231933597,1164244,280.625,,
2006-12-05,278.375,294.17498779296875,276.25,291.625,217.9808349609375,4355516,280.625,,
2006-12-06,293.75,298.0,281.57501220703125,284.0625,212.32814025878903,4025108,280.625,,
2006-12-07,283.75,292.625,281.3125,284.98748779296875,213.0194854736328,3723552,280.625,,
2006-12-08,287.5,287.5,280.54998779296875,281.42498779296875,210.35662841796875,1497532,280.625,,
2006-12-11,284.67498779296875,286.5,268.5249938964844,274.0,204.80667114257807,2571276,280.625,,
2006-12-12,275.0,280.5,253.5,260.4375,194.6691436767578,3110364,280.625,,
2006-12-13,261.5,273.45001220703125,252.5249938964844,270.17498779296875,201.94760131835935,1982848,280.625,,
2006-12-14,272.75,283.42498779296875,270.75,277.3500061035156,207.31069946289065,2178500,280.625,,
2006-12-15,279.0,285.42498779296875,260.0,282.67498779296875,211.291015625,1635840,280.625,,
2006-12-18,285.6000061035156,301.0,280.07501220703125,298.63751220703125,223.22251892089844,5219292,280.625,,
2006-12-19,300.0,305.0,285.6499938964844,288.57501220703125,215.70111083984372,6729012,280.625,,
2006-12-20,292.5,321.25,287.76251220703125,310.75,232.27626037597656,11956348,280.625,,
2006-12-21,312.5,372.8999938964844,312.5,372.8999938964844,278.7314147949219,15146256,280.625,,
2006-12-22,377.5,437.1749877929688,377.5,413.875,309.3590393066406,20895484,280.625,,
2006-12-26,412.4874877929688,430.0,412.4874877929688,417.1499938964844,311.8069763183594,6855504,280.625,,
2006-12-27,422.5,424.0,410.3250122070313,412.0499877929688,307.994873046875,3575472,280.625,,
2006-12-28,414.4375,430.5,400.0,423.6875,316.69354248046875,11967428,280.625,,
2006-12-29,423.75,433.25,412.75,418.1375122070313,312.545166015625,5411044,280.625,,
2007-01-02,420.7999877929688,429.0,416.25,417.3374938964844,311.9471130371094,4740064,418.1375122070313,,
2007-01-03,418.5,421.5125122070313,414.125,416.0249938964844,310.966064453125,2247252,418.1375122070313,,
2007-01-04,418.25,426.25,408.75,410.4125061035156,306.7709045410156,4100492,418.1375122070313,,
2007-01-05,411.875,419.75,408.8250122070313,410.7999877929688,307.0605163574219,2579764,418.1375122070313,,
2007-01-08,415.0,428.5,412.5,419.4874877929688,313.5541687011719,5459340,418.1375122070313,,
2007-01-09,421.25,423.5,408.75,411.9624938964844,307.9295349121094,2600788,418.1375122070313,,
2007-01-10,411.7749938964844,426.25,408.9750061035156,421.8875122070313,315.34814453125,4744576,418.1375122070313,,
2007-01-11,425.25,448.4249877929688,418.5,444.8250122070313,332.4932861328125,9391396,418.1375122070313,,
2007-01-12,449.25,468.0,449.25,461.4874877929688,344.9479064941406,8227948,418.1375122070313,,
2007-01-15,474.5,474.5,462.5874938964844,466.8999938964844,348.9936218261719,3058548,418.1375122070313,,
2007-01-16,470.0,471.6749877929688,447.5750122070313,450.9125061035156,337.0434265136719,3540304,418.1375122070313,,
2007-01-17,461.1000061035156,499.75,452.5,495.2000122070313,370.1470031738281,16050504,418.1375122070313,,
2007-01-18,502.75,512.0,462.7999877929688,474.6375122070313,354.777099609375,14094072,418.1375122070313,,
2007-01-19,481.2749938964844,485.0,441.3250122070313,444.1499938964844,331.9886779785156,12325108,418.1375122070313,,
2007-01-22,447.0,456.25,431.2749938964844,440.5375061035156,329.2884521484375,10062700,418.1375122070313,,
2007-01-23,440.5375061035156,449.7250061035156,433.7374877929688,436.8500061035156,326.5321350097656,5518488,418.1375122070313,,
2007-01-24,472.5,472.5,437.8125,442.8500061035156,331.01690673828125,2782500,418.1375122070313,,
